player_name,feet,inches,weight(lbs.),college,high_school_name,high_school_state,draft_team,draft_info,birthday
Clarence Moore,6,6,220,Northern Arizona,Cypress,CA,Baltimore Ravens,Draft: Baltimore Ravens in the 6th round (199th overall) of the 2004 NFL Draft.,
Bernard Berrian,6,1,185,Fresno St.,Atwater,CA,Chicago Bears,Draft: Chicago Bears in the 3rd round (78th overall) of the 2004 NFL Draft.,
Bruce Ellington,5,9,200,South Carolina,Berkeley,SC,San Francisco 49ers,Draft: San Francisco 49ers in the 4th round (106th overall) of the 2014 NFL Draft.,
Vick Ballard,5,10,217,Mississippi Gulf Coast CC,Pascagoula,MS,Indianapolis Colts,Draft: Indianapolis Colts in the 5th round (170th overall) of the 2012 NFL Draft.,
Leon Washington,5,8,192,Florida St.,Andrew Jackson,FL,New York Jets,Draft: New York Jets in the 4th round (117th overall) of the 2006 NFL Draft.,
Larry Fitzgerald,6,3,218,Pittsburgh,Academy of the Holy Angels,MN,Arizona Cardinals,Draft: Arizona Cardinals in the 1st round (3rd overall) of the 2004 NFL Draft.,
J.P. Losman,6,2,217,UCLA,Venice,CA,Buffalo Bills,Draft: Buffalo Bills in the 1st round (22nd overall) of the 2004 NFL Draft.,
Antonio Andrews,5,10,225,Western Kentucky,Fort Campbell,KY,,,
James Robinson,5,9,219,Butler (KS),Rockford Lutheran,IL,NA,,8/9/1998
Rob Kelley,,,,,,,,,
Van Jefferson,6,1,200,Missisipi,Ravenwood,TN,Los Angeles Rams,Draft: Los Angeles Rams in the 2nd round (57th overall) of the 2020 NFL Draft.,
Chris Fuamatu-Ma'afala,6,0,252,Utah,Saint Louis,HI,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 6th round (178th overall) of the 1998 NFL Draft.,
Roy Williams,,,,,,,,,
Colt McCoy,6,1,212,Texas,Jim Ned,TX,Cleveland Browns,Draft: Cleveland Browns in the 3rd round (85th overall) of the 2010 NFL Draft.,
Brent Celek,6,4,261,Cincinnati,La Salle,OH,Philadelphia Eagles,Draft: Philadelphia Eagles in the 5th round (162nd overall) of the 2007 NFL Draft.,
Cooper Kupp,6,2,208,Eastern Washington,Davis,WA,Los Angeles Rams,Draft: Los Angeles Rams in the 3rd round (69th overall) of the 2017 NFL Draft.,
Jake Ferguson,6,5,244,Wisconsin,James Madison Memorial,WI,Dallas Cowboys,Draft: Dallas Cowboys in the 4th round (129th overall) of the 2022 NFL Draft.,
Marcedes Lewis,6,6,265,UCLA,Long Beach Polytechnic,CA,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 1st round (28th overall) of the 2006 NFL Draft.,
Trent Green,6,3,217,Indiana,Vianney,MO,San Diego Chargers,Draft: San Diego Chargers in the 8th round (222nd overall) of the 1993 NFL Draft.,
Bryce Brown,6,0,223,Kansas St.,Wichita East,KS,Philadelphia Eagles,Draft: Philadelphia Eagles in the 7th round (229th overall) of the 2012 NFL Draft.,
L.J. Smith,6,3,258,Rutgers,Highland Park,NJ,Philadelphia Eagles,Draft: Philadelphia Eagles in the 2nd round (61st overall) of the 2003 NFL Draft.,
Mike Brown,5,10,205,Liberty,Monticello,VA,NA,,2/9/1989
Kalen Ballage,6,2,231,Arizona St.,Falcon,CO,Miami Dolphins,Draft: Miami Dolphins in the 4th round (131st overall) of the 2018 NFL Draft.,
C.J. Uzomah,6,5,271,Auburn,North Gwinnett,GA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 5th round (157th overall) of the 2015 NFL Draft.,
Brandin Cooks,5,10,189,Oregon St.,Lincoln,CA,New Orleans Saints,Draft: New Orleans Saints in the 1st round (20th overall) of the 2014 NFL Draft.,
Deshaun Watson,6,3,223,Clemson,Gainesville,GA,Houston Texans,Draft: Houston Texans in the 1st round (12th overall) of the 2017 NFL Draft.,
Doug Jolley,6,4,250,BYU,Dixie,UT,Oakland Raiders,Draft: Oakland Raiders in the 2nd round (55th overall) of the 2002 NFL Draft.,
Jace Amaro,6,5,265,Texas Tech,MacArthur,TX,New York Jets,Draft: New York Jets in the 2nd round (49th overall) of the 2014 NFL Draft.,
Jimmy Kleinsasser,6,3,272,North Dakota,Carrington,ND,Minnesota Vikings,Draft: Minnesota Vikings in the 2nd round (44th overall) of the 1999 NFL Draft.,
Ronald Curry,6,2,220,North Carolina,Hampton,VA,Oakland Raiders,Draft: Oakland Raiders in the 7th round (235th overall) of the 2002 NFL Draft.,
BenJarvus Green-Ellis,5,11,215,Mississippi,St. Augustine,LA,,"Twitter:
@TheLawFirmBJGE
",
Cedrick Wilson Sr.,,,,,,,,,
Todd Pinkston,6,2,174,Southern Miss,Forest,MS,Philadelphia Eagles,Draft: Philadelphia Eagles in the 2nd round (36th overall) of the 2000 NFL Draft.,
Jeb Putzier,6,4,256,Boise St.,Eagle,ID,Denver Broncos,Draft: Denver Broncos in the 6th round (191st overall) of the 2002 NFL Draft.,
Chase Claypool,6,4,238,Notre Dame,Abbotsford Senior Secondary School,Canada,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 2nd round (49th overall) of the 2020 NFL Draft.,
Jeff George,,,,,,,,,
Aaron Shea,6,3,250,Michigan,Ottawa,IL,Cleveland Browns,Draft: Cleveland Browns in the 4th round (110th overall) of the 2000 NFL Draft.,
Erron Kinney,6,5,275,Florida,Patrick Henry,VA,Tennessee Titans,Draft: Tennessee Titans in the 3rd round (68th overall) of the 2000 NFL Draft.,
Crockett Gillmore,6,6,260,Colorado St.,Bushland,TX,Baltimore Ravens,Draft: Baltimore Ravens in the 3rd round (99th overall) of the 2014 NFL Draft.,
Ernie Conwell,6,2,255,Washington,Kentwood,WA,St. Louis Rams,Draft: St. Louis Rams in the 2nd round (59th overall) of the 1996 NFL Draft.,
Jaleel McLaughlin,5,7,187,Notre Dame (OH),Forest Hills,NC,,,
Laviska Shenault,6,1,220,Colorado,DeSoto,TX,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 2nd round (42nd overall) of the 2020 NFL Draft.,
Tatum Bell,5,11,213,Oklahoma St.,DeSoto,TX,Denver Broncos,Draft: Denver Broncos in the 2nd round (41st overall) of the 2004 NFL Draft.,
Travis Minor,5,10,203,Florida St.,Baton Rouge Catholic,LA,Miami Dolphins,Draft: Miami Dolphins in the 3rd round (85th overall) of the 2001 NFL Draft.,
Royce Freeman,6,0,238,Oregon,Imperial,CA,Denver Broncos,Draft: Denver Broncos in the 3rd round (71st overall) of the 2018 NFL Draft.,
Tom Brady,6,4,225,Michigan,Junipero Serra,CA,New England Patriots,Draft: New England Patriots in the 6th round (199th overall) of the 2000 NFL Draft.,
Cordarrelle Patterson,6,2,220,Tennessee,Northwestern,SC,Minnesota Vikings,Draft: Minnesota Vikings in the 1st round (29th overall) of the 2013 NFL Draft.,
Kelvin Benjamin,6,5,245,Florida St.,Glades Central,FL,Carolina Panthers,Draft: Carolina Panthers in the 1st round (28th overall) of the 2014 NFL Draft.,
Chris Perry,6,0,224,Michigan,Fork Union Military Academy,VA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (26th overall) of the 2004 NFL Draft.,
Desmond Clark,6,3,249,Wake Forest,Kathleen,FL,Denver Broncos,Draft: Denver Broncos in the 6th round (179th overall) of the 1999 NFL Draft.,
Joe Flacco,6,6,245,Pittsburgh,Audubon,NJ,Baltimore Ravens,Draft: Baltimore Ravens in the 1st round (18th overall) of the 2008 NFL Draft.,
Baker Mayfield,6,1,215,Oklahoma,Lake Travis,TX,Cleveland Browns,Draft: Cleveland Browns in the 1st round (1st overall) of the 2018 NFL Draft.,
Cris Carter,6,3,202,Ohio St.,Middletown,OH,Philadelphia Eagles,Draft: Philadelphia Eagles in the 4th round (3rd overall) of the 1987 NFL Supplemental Draft.,
J.T. O'Sullivan,6,2,232,UC Davis,Jesuit,CA,New Orleans Saints,Draft: New Orleans Saints in the 6th round (186th overall) of the 2002 NFL Draft.,
Shannon Sharpe,6,2,228,Savannah St.,Glennville,GA,Denver Broncos,Draft: Denver Broncos in the 7th round (192nd overall) of the 1990 NFL Draft.,
Ashley Lelie,6,3,200,Hawaii,Radford,HI,Denver Broncos,Draft: Denver Broncos in the 1st round (19th overall) of the 2002 NFL Draft.,
Mario Bates,6,1,217,Arizona St.,Amphitheater,AZ,New Orleans Saints,Draft: New Orleans Saints in the 2nd round (44th overall) of the 1994 NFL Draft.,
Johnny Knox,6,0,185,Abilene Christian,Channelview,TX,Chicago Bears,Draft: Chicago Bears in the 5th round (140th overall) of the 2009 NFL Draft.,
Devin Aromashodu,6,2,201,Auburn,Miami Springs,FL,Miami Dolphins,Draft: Miami Dolphins in the 7th round (233rd overall) of the 2006 NFL Draft.,
John Ross,5,11,194,Washington,Jordan Long Beach,CA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (9th overall) of the 2017 NFL Draft.,11/27/1995
Michael Thomas,,,,,,,,,
Isaiah Hodgins,6,3,200,Oregon St.,Berean Christian,CA,Buffalo Bills,Draft: Buffalo Bills in the 6th round (207th overall) of the 2020 NFL Draft.,
William Green,,,,,,,,,
Dallas Goedert,6,5,256,South Dakota St.,Britton-Hecla,SD,Philadelphia Eagles,Draft: Philadelphia Eagles in the 2nd round (49th overall) of the 2018 NFL Draft.,
Jaylen Warren,5,8,215,Snow College (UT),East,UT,,,
Tony Fisher,6,1,222,Notre Dame,Euclid,OH,,,
Willie Parker,5,10,212,North Carolina,Clinton,NC,NA,"Twitter:
@3williethadude9
",11/11/1980
Tarik Cohen,5,6,181,North Carolina A&T,Bunn,NC,Chicago Bears,Draft: Chicago Bears in the 4th round (119th overall) of the 2017 NFL Draft.,
Jermichael Finley,6,4,240,Texas,Diboll,TX,Green Bay Packers,Draft: Green Bay Packers in the 3rd round (91st overall) of the 2008 NFL Draft.,
Brandon Tate,6,1,195,North Carolina,Cummings,NC,New England Patriots,Draft: New England Patriots in the 3rd round (83rd overall) of the 2009 NFL Draft.,
Patrick Jeffers,6,3,217,Virginia,Fort Worth Country Day School,TX,Denver Broncos,Draft: Denver Broncos in the 5th round (159th overall) of the 1996 NFL Draft.,
Devery Henderson,5,11,200,LSU,Opelousas,LA,New Orleans Saints,Draft: New Orleans Saints in the 2nd round (50th overall) of the 2004 NFL Draft.,
Eddie Lacy,5,11,250,Alabama,Dutchtown,LA,Green Bay Packers,Draft: Green Bay Packers in the 2nd round (61st overall) of the 2013 NFL Draft.,
Zach Ertz,6,5,250,Stanford,Monte Vista,CA,Philadelphia Eagles,Draft: Philadelphia Eagles in the 2nd round (35th overall) of the 2013 NFL Draft.,
Vernon Davis,,,,,,,,,
Romeo Doubs,6,2,204,Nevada,Jefferson,CA,Green Bay Packers,Draft: Green Bay Packers in the 4th round (132nd overall) of the 2022 NFL Draft.,
O.J. McDuffie,5,10,194,Penn St.,Hawken,OH,Miami Dolphins,Draft: Miami Dolphins in the 1st round (25th overall) of the 1993 NFL Draft.,
Phillip Lindsay,5,8,190,Colorado,South,CO,,"Twitter:
@I_CU_boy
  

Â Â·


  Instagram:
phillip_lindsay",
Joey Harrington,6,4,220,Oregon,Central Catholic,OR,Detroit Lions,Draft: Detroit Lions in the 1st round (3rd overall) of the 2002 NFL Draft.,
Greg Ward,5,11,190,Houston,John Tyler,TX,,,
Jaron Brown,6,3,204,Clemson,Cheraw,SC,,Pronunciation: \jah-RONN\,
Rob Housler,6,5,238,Florida Atlantic,Judson,TX,Arizona Cardinals,Draft: Arizona Cardinals in the 3rd round (69th overall) of the 2011 NFL Draft.,
Kenneth Walker,5,9,211,Wake Forest,Arlington,TN,Seattle Seahawks,Draft: Seattle Seahawks in the 2nd round (41st overall) of the 2022 NFL Draft.,
Samaje Perine,5,10,236,Oklahoma,Hendrickson,TX,Washington Redskins,Draft: Washington Redskins in the 4th round (114th overall) of the 2017 NFL Draft.,
Jerheme Urban,6,3,212,Trinity (TX),Stroman,TX,,,
David Thomas,6,3,248,Texas,Frenship,TX,New England Patriots,Draft: New England Patriots in the 3rd round (86th overall) of the 2006 NFL Draft.,7/5/1983
Derrick Blaylock,5,9,210,S.F. Austin,Atlanta,TX,Kansas City Chiefs,Draft: Kansas City Chiefs in the 5th round (150th overall) of the 2001 NFL Draft.,
Arrelious Benn,6,2,225,Illinois,Dunbar,DC,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 2nd round (39th overall) of the 2010 NFL Draft.,
Brian Mitchell,5,11,225,Louisiana,Plaquemine,LA,Washington Redskins,Draft: Washington Redskins in the 5th round (130th overall) of the 1990 NFL Draft.,8/18/1968
Wali Lundy,5,11,209,Virginia,Florence Twp. Memorial,NJ,Houston Texans,Draft: Houston Texans in the 6th round (170th overall) of the 2006 NFL Draft.,
Elijah Moore,5,10,180,Mississippi,St. Thomas Aquinas,FL,New York Jets,Draft: New York Jets in the 2nd round (34th overall) of the 2021 NFL Draft.,
Ron Dayne,5,10,245,Wisconsin,Overbrook,NJ,New York Giants,Draft: New York Giants in the 1st round (11th overall) of the 2000 NFL Draft.,
Chris Johnson,5,11,195,East Carolina,Olympia,FL,Tennessee Titans,Draft: Tennessee Titans in the 1st round (24th overall) of the 2008 NFL Draft.,9/23/1985
Marlon Mack,5,11,210,South Florida,Booker,FL,Indianapolis Colts,Draft: Indianapolis Colts in the 4th round (143rd overall) of the 2017 NFL Draft.,
Gardner Minshew,6,1,225,Northwest Mississippi CC,Brandon,MS,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 6th round (178th overall) of the 2019 NFL Draft.,
Dez White,6,1,215,Georgia Tech,The Bolles School,FL,Chicago Bears,Draft: Chicago Bears in the 3rd round (69th overall) of the 2000 NFL Draft.,
Donte' Stallworth,6,0,220,NA,NA,NA,NA,NA,11/10/1980
Thomas Jones,,,,,,,,,
Antonio Callaway,5,11,200,Florida,Booker T. Washington,FL,Cleveland Browns,Draft: Cleveland Browns in the 4th round (105th overall) of the 2018 NFL Draft.,1/9/1997
Steve Breaston,6,0,189,Michigan,Woodland Hills,PA,Arizona Cardinals,Draft: Arizona Cardinals in the 5th round (142nd overall) of the 2007 NFL Draft.,
Dalvin Cook,5,10,210,Florida St.,Miami Central,FL,Minnesota Vikings,Draft: Minnesota Vikings in the 2nd round (41st overall) of the 2017 NFL Draft.,
Tyler Kroft,6,6,252,Rutgers,Downingtown East,PA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 3rd round (85th overall) of the 2015 NFL Draft.,
Kenyan Drake,6,1,216,Alabama,Hillgrove,GA,Miami Dolphins,Draft: Miami Dolphins in the 3rd round (73rd overall) of the 2016 NFL Draft.,
Deion Branch,5,9,195,Louisville,Monroe,GA,New England Patriots,Draft: New England Patriots in the 2nd round (65th overall) of the 2002 NFL Draft.,
Ja'Marr Chase,6,0,201,LSU,Archbishop Rummel,LA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (5th overall) of the 2021 NFL Draft.,
Brian Robinson,6,1,228,Alabama,Hillcrest,AL,Washington Commanders,Draft: Washington Commanders in the 3rd round (98th overall) of the 2022 NFL Draft.,3/22/1999
Joseph Fauria,6,7,259,UCLA,Crespi Carmelite,CA,,Pronunciation: \FOR-ee-ay\,
Tim Patrick,,,,,,,,,
Chris Simms,6,4,230,Texas,Ramapo,NJ,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 3rd round (97th overall) of the 2003 NFL Draft.,
Torrey Smith,6,0,205,Maryland,Stafford,VA,Baltimore Ravens,Draft: Baltimore Ravens in the 2nd round (58th overall) of the 2011 NFL Draft.,
Lamar Jackson,,,,,,,,,
Terry Glenn,5,11,195,Ohio St.,Brookhaven,OH,New England Patriots,Draft: New England Patriots in the 1st round (7th overall) of the 1996 NFL Draft.,
Jonathan Mingo,6,2,220,Mississippi,Brandon,MS,Carolina Panthers,Draft: Carolina Panthers in the 2nd round (39th overall) of the 2023 NFL Draft.,
Patrick Ramsey,6,2,225,Tulane,Ruston,LA,Washington Redskins,Draft: Washington Redskins in the 1st round (32nd overall) of the 2002 NFL Draft.,
Antonio Chatman,5,8,182,Cincinnati,Susan Miller Dorsey,CA,,,
Mike Pritchard,5,10,188,Colorado,Rancho,NV,Atlanta Falcons,Draft: Atlanta Falcons in the 1st round (13th overall) of the 1991 NFL Draft.,
Drew Stanton,6,3,226,Michigan St.,Harrison,MI,Detroit Lions,Draft: Detroit Lions in the 2nd round (43rd overall) of the 2007 NFL Draft.,
DeAngelo Williams,5,9,207,Memphis,Wynne,AR,Carolina Panthers,Draft: Carolina Panthers in the 1st round (27th overall) of the 2006 NFL Draft.,
Brian Griese,6,3,214,Michigan,Christopher Columbus,FL,Denver Broncos,Draft: Denver Broncos in the 3rd round (91st overall) of the 1998 NFL Draft.,
Mecole Hardman,5,10,187,Georgia,Elbert County,GA,Kansas City Chiefs,Draft: Kansas City Chiefs in the 2nd round (56th overall) of the 2019 NFL Draft.,
Steve Heiden,6,5,270,South Dakota St.,Rushford-Peterson,MN,San Diego Chargers,Draft: San Diego Chargers in the 3rd round (69th overall) of the 1999 NFL Draft.,
Amari Cooper,6,1,211,Alabama,Miami Northwestern,FL,Oakland Raiders,Draft: Oakland Raiders in the 1st round (4th overall) of the 2015 NFL Draft.,
Lamar Miller,5,10,221,Miami (FL),Killian,FL,Miami Dolphins,Draft: Miami Dolphins in the 4th round (97th overall) of the 2012 NFL Draft.,
Trevor Gaylor,6,3,195,Miami (OH),Hazelwood West,MO,San Diego Chargers,Draft: San Diego Chargers in the 4th round (111th overall) of the 2000 NFL Draft.,
Kevin Kolb,6,3,218,Houston,Stephenville,TX,Philadelphia Eagles,Draft: Philadelphia Eagles in the 2nd round (36th overall) of the 2007 NFL Draft.,
Phillip Dorsett,5,10,192,Miami (FL),St. Thomas Aquinas,FL,Indianapolis Colts,Draft: Indianapolis Colts in the 1st round (29th overall) of the 2015 NFL Draft.,
Ray Rice,5,9,195,Rutgers,New Rochelle,NY,Baltimore Ravens,Draft: Baltimore Ravens in the 2nd round (55th overall) of the 2008 NFL Draft.,
Dalton Schultz,6,5,244,Stanford,Bingham,UT,Dallas Cowboys,Draft: Dallas Cowboys in the 4th round (137th overall) of the 2018 NFL Draft.,
Mike Williams,,,,,,,,,
Theo Riddick,5,9,201,Notre Dame,Immaculata,NJ,Detroit Lions,Draft: Detroit Lions in the 6th round (199th overall) of the 2013 NFL Draft.,
Vinny Testaverde,6,5,235,Miami (FL),Sewanhaka,NY,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 1st round (1st overall) of the 1987 NFL Draft.,
Roland Williams,6,5,265,Syracuse,East,NY,St. Louis Rams,Draft: St. Louis Rams in the 4th round (98th overall) of the 1998 NFL Draft.,
Rashod Bateman,6,1,197,Minnesota,Tift County,GA,Baltimore Ravens,Draft: Baltimore Ravens in the 1st round (27th overall) of the 2021 NFL Draft.,
Trevor Siemian,6,3,220,Northwestern,Olympia,FL,Denver Broncos,Draft: Denver Broncos in the 7th round (250th overall) of the 2015 NFL Draft.,
Derek Carr,6,3,215,Fresno St.,Bakersfield Christian,CA,Oakland Raiders,Draft: Oakland Raiders in the 2nd round (36th overall) of the 2014 NFL Draft.,3/28/1991
Teddy Bridgewater,6,2,212,Louisville,Miami Northwestern,FL,Minnesota Vikings,Draft: Minnesota Vikings in the 1st round (32nd overall) of the 2014 NFL Draft.,
Ty Johnson,,,,,,,,,
Logan Thomas,6,6,250,Virginia Tech,Brookville,VA,Arizona Cardinals,Draft: Arizona Cardinals in the 4th round (120th overall) of the 2014 NFL Draft.,7/1/1991
Fred Lane,5,10,205,Lane,Franklin,TN,,,
Matt Jones,,,,,,,,,
Chad Henne,6,3,215,Michigan,Wilson,PA,Miami Dolphins,Draft: Miami Dolphins in the 2nd round (57th overall) of the 2008 NFL Draft.,
Rudi Johnson,5,10,228,Butler (KS),Thomas Dale,VA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 4th round (100th overall) of the 2001 NFL Draft.,
Steve McNair,6,2,230,Alcorn St.,Mount Olive,MS,Houston Oilers,Draft: Houston Oilers in the 1st round (3rd overall) of the 1995 NFL Draft.,
Ben Obomanu,6,1,204,Auburn,Selma,AL,Seattle Seahawks,Draft: Seattle Seahawks in the 7th round (249th overall) of the 2006 NFL Draft.,
Jerome Simpson,6,1,193,Coastal Carolina,Reidsville,NC,Cincinnati Bengals,Draft: Cincinnati Bengals in the 2nd round (46th overall) of the 2008 NFL Draft.,
David Martin,,,,,,,,,
Ryan Grant,,,,,,,,,
Jimmy Smith,6,1,213,Jackson St.,Callaway,MS,Dallas Cowboys,Draft: Dallas Cowboys in the 2nd round (36th overall) of the 1992 NFL Draft.,2/9/1969
Isaiah Crowell,5,11,225,Alabama St.,Carver,GA,,Pronunciation: \croh-ELL\,
Marc Boerigter,6,3,220,Hastings,Hastings,NE,,,
Aaron Jones,5,9,208,Texas-El Paso,Burges,TX,Green Bay Packers,Draft: Green Bay Packers in the 5th round (182nd overall) of the 2017 NFL Draft.,12/2/1994
Nick Chubb,5,11,227,Georgia,Cedartown,GA,Cleveland Browns,Draft: Cleveland Browns in the 2nd round (35th overall) of the 2018 NFL Draft.,
Terry Allen,5,10,204,Clemson,Banks Co.,GA,Minnesota Vikings,Draft: Minnesota Vikings in the 9th round (241st overall) of the 1990 NFL Draft.,2/21/1968
Arian Foster,6,1,227,Tennessee,Mission Bay,CA,,"Twitter:
@ArianFoster
",
Marquez Valdes-Scantling,6,4,206,North Carolina St.,Lakewood,FL,Green Bay Packers,Draft: Green Bay Packers in the 5th round (174th overall) of the 2018 NFL Draft.,
Antonio Brown,5,10,175,Central Michigan,Norland,FL,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 6th round (195th overall) of the 2010 NFL Draft.,3/3/1978
Derrius Thompson,6,2,220,Baylor,Cedar Hill,TX,,,
Tim Rattay,6,0,200,Louisiana Tech,Phoenix Christian,AZ,San Francisco 49ers,Draft: San Francisco 49ers in the 7th round (212th overall) of the 2000 NFL Draft.,
Bryce Young,5,10,204,Alabama,Cathedral,CA,Carolina Panthers,Draft: Carolina Panthers in the 1st round (1st overall) of the 2023 NFL Draft.,
Cole Beasley,5,8,174,SMU,Little Elm,TX,,,
Josh McCown,6,4,218,SMU,Jacksonville,TX,Arizona Cardinals,Draft: Arizona Cardinals in the 3rd round (81st overall) of the 2002 NFL Draft.,
Nate Washington,6,1,183,Tiffin,Scott,OH,,,
Gary Barnidge,6,6,250,Louisville,Middleburg,FL,Carolina Panthers,Draft: Carolina Panthers in the 5th round (141st overall) of the 2008 NFL Draft.,
Cam Newton,6,5,245,Florida,Westlake,GA,Carolina Panthers,Draft: Carolina Panthers in the 1st round (1st overall) of the 2011 NFL Draft.,5/11/1989
Deon Butler,5,10,170,Penn St.,C.D. Hylton,VA,Seattle Seahawks,Draft: Seattle Seahawks in the 3rd round (91st overall) of the 2009 NFL Draft.,
Antonio Gates,6,4,255,Kent St.,Central,MI,,"Twitter:
@AntonioGates85
",
Josh Palmer,6,1,210,Tennessee,St. Roch Catholic Secondary School,Canada,Los Angeles Chargers,Draft: Los Angeles Chargers in the 3rd round (77th overall) of the 2021 NFL Draft.,
Trey McBride,6,4,246,Colorado St.,Fort Morgan,CO,Arizona Cardinals,Draft: Arizona Cardinals in the 2nd round (55th overall) of the 2022 NFL Draft.,
Tim Tebow,6,2,236,Florida,Allen D. Nease,FL,Denver Broncos,Draft: Denver Broncos in the 1st round (25th overall) of the 2010 NFL Draft.,
Terrace Marshall,6,2,200,LSU,Parkway,LA,Carolina Panthers,Draft: Carolina Panthers in the 2nd round (59th overall) of the 2021 NFL Draft.,
Peter Warrick,5,11,195,Florida St.,Southeast,FL,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (4th overall) of the 2000 NFL Draft.,
Dwayne Harris,5,10,215,East Carolina,Tucker,GA,Dallas Cowboys,Draft: Dallas Cowboys in the 6th round (176th overall) of the 2011 NFL Draft.,
Nate Burleson,6,0,198,Nevada,O'Dea,WA,Minnesota Vikings,Draft: Minnesota Vikings in the 3rd round (71st overall) of the 2003 NFL Draft.,
Chris Conley,6,3,205,Georgia,North Paulding,GA,Kansas City Chiefs,Draft: Kansas City Chiefs in the 3rd round (76th overall) of the 2015 NFL Draft.,
Ike Hilliard,5,11,210,Florida,Patterson,LA,New York Giants,Draft: New York Giants in the 1st round (7th overall) of the 1997 NFL Draft.,
Kenneth Gainwell,5,9,200,Memphis,Yazoo County,MS,Philadelphia Eagles,Draft: Philadelphia Eagles in the 5th round (150th overall) of the 2021 NFL Draft.,
Tyler Eifert,6,6,255,Notre Dame,Bishop Dwenger,IN,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (21st overall) of the 2013 NFL Draft.,
Kenny Stills,6,1,202,Oklahoma,La Costa Canyon,CA,New Orleans Saints,Draft: New Orleans Saints in the 5th round (144th overall) of the 2013 NFL Draft.,
Onterrio Smith,5,10,214,Tennessee,Grant Union,CA,Minnesota Vikings,Draft: Minnesota Vikings in the 4th round (105th overall) of the 2003 NFL Draft.,
Kevin Johnson,5,11,195,Syracuse,Hamilton West,NJ,Cleveland Browns,Draft: Cleveland Browns in the 2nd round (32nd overall) of the 1999 NFL Draft.,7/15/1976
Jeff Cumberland,6,4,249,Illinois,Brookhaven,OH,,,
Troy Edwards,5,10,195,Louisiana Tech,Huntington,LA,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 1st round (13th overall) of the 1999 NFL Draft.,
Marquise Goodwin,5,9,185,Texas,Rowlett,TX,Buffalo Bills,Draft: Buffalo Bills in the 3rd round (78th overall) of the 2013 NFL Draft.,
Steven Jackson,,,,,,,,,
Greg Hill,5,11,207,Texas A&M,David W. Carter,TX,Kansas City Chiefs,Draft: Kansas City Chiefs in the 1st round (25th overall) of the 1994 NFL Draft.,2/23/1972
Ken Oxendine,6,0,228,Virginia Tech,Thomas Dale,VA,Atlanta Falcons,Draft: Atlanta Falcons in the 7th round (201st overall) of the 1998 NFL Draft.,
Ladarius Green,6,6,237,Louisiana,Booker T. Washington,FL,San Diego Chargers,Draft: San Diego Chargers in the 4th round (110th overall) of the 2012 NFL Draft.,
Kevin Walter,6,3,216,Eastern Michigan,Libertyville,IL,New York Giants,Draft: New York Giants in the 7th round (255th overall) of the 2003 NFL Draft.,8/4/1981
Shane Vereen,5,10,205,California,Valencia,CA,New England Patriots,Draft: New England Patriots in the 2nd round (56th overall) of the 2011 NFL Draft.,
Priest Holmes,5,9,213,Texas,John Marshall,TX,,"Twitter:
@priestholmes
",
Mike Sims-Walker,6,2,197,Central Florida,Edgewater,FL,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 3rd round (79th overall) of the 2007 NFL Draft.,
Travis Henry,,,,,,,,,
Lamont Warren,5,11,202,Colorado,Susan Miller Dorsey,CA,Indianapolis Colts,Draft: Indianapolis Colts in the 6th round (164th overall) of the 1994 NFL Draft.,1/4/1973
T.J. Duckett,6,0,254,Michigan St.,Loy Norrix,MI,Atlanta Falcons,Draft: Atlanta Falcons in the 1st round (18th overall) of the 2002 NFL Draft.,
Visanthe Shiancoe,6,4,250,Morgan St.,Montgomery Blair,MD,New York Giants,Draft: New York Giants in the 3rd round (91st overall) of the 2003 NFL Draft.,
Chris Ogbonnaya,6,0,220,Texas,Strake Jesuit,TX,St. Louis Rams,Draft: St. Louis Rams in the 7th round (211th overall) of the 2009 NFL Draft.,
Titus Young,5,11,175,Boise St.,University,CA,Detroit Lions,Draft: Detroit Lions in the 2nd round (44th overall) of the 2011 NFL Draft.,
Daniel Graham,6,3,257,Colorado,Thomas Jefferson,CO,New England Patriots,Draft: New England Patriots in the 1st round (21st overall) of the 2002 NFL Draft.,
Trey Palmer,6,0,192,LSU,Kentwood,LA,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 6th round (191st overall) of the 2023 NFL Draft.,
